aluminium	ammonia	arsenic	barium	cadmium	chloramine	chromium	copper	fluoride	bacteria	viruses	lead	nitrates	nitrites	mercury	perchlorate	radium	selenium	silver	uranium	is_safe
1.37	0.61	0.66	1.15	0.11	4.8	0.38	1.5	0.92	0.44	0.004	0.184	10.34	1.34	0.007	48.62	4.07	0.04	0.11	0.08	0
0.04	18.84	0.05	1.92	0	0.08	0.04	1	0.09	0	0.91	0.103	4.52	0.97	0.006	2.23	0.04	0.03	0.02	0.05	0
0.06	2.05	0.05	2.76	0.008	0.83	0.54	0.28	0.93	0	0	0.175	17.17	1.58	0.003	46	4.85	0.01	0.27	0.02	1
0.09	21.16	0.07	0.28	0	0.04	0.01	0.1	1.07	0.22	0.004	0.089	16.82	0.91	0.01	2.1	0.07	0.07	0.04	0	0
0.1	22.55	0.07	0.7	0.04	0.01	0.07	0.02	0.57	0	0.6	0.146	0.14	0.6	0.01	1.3	4.85	0.07	0.04	0.03	0
0.12	14.13	0.04	3.88	0.007	0.71	0.48	0.18	0.74	0.19	0.005	0.112	17.75	1.62	0.008	33.01	4.51	0.06	0.05	0.02	1
0.09	12.26	0.04	3.61	0.001	3.58	0.47	0.13	1.29	0.82	0.82	0.072	12.75	1.37	0.006	32.48	1.45	0.02	0.31	0.04	1
0.05	23.94	0.08	1.76	0.09	0.09	0.07	1.63	1.35	0.69	0.69	0.02	0.71	1.62	0.009	10.91	1.61	0.06	0.01	0.05	0
0.02	20.07	0.06	0.76	0.05	0.14	0.01	1.71	1.35	0.85	0.85	0.1	12.71	1.21	0.005	0.41	2.87	0.01	0.09	0.09	0
0.08	18.95	0.07	0.27	0.08	0.1	0.01	1.92	1.36	0.94	0.94	0.128	7.7	1.61	0.008	7.17	0.02	0.07	0.04	0.03	0
0.03	0.09	0.001	1.03	0.002	5.47	0.54	1.95	0.56	0.94	0.94	0.006	15.78	2	0.009	25.95	4.31	0.01	0.06	0.01	1
0.09	1.48	0.1	2.86	0.06	0.05	0	0.66	0.88	0	0.68	0.113	18.34	1.98	0.002	0.08	0.69	0.01	0.1	0.05	0
0.27	3.43	0.04	1.78	0.005	4.56	0.52	1.83	1.3	0.12	0.003	0.129	7.29	1.14	0.007	10.95	5.13	0.07	0.44	0.08	0
0.07	9.65	0.04	0.38	0.02	0.55	0.02	0.06	0.03	0.1	0.001	0.137	13.43	0.73	0.001	5.15	0.98	0	0.04	0.05	0
0.01	18.67	0.05	0.47	0.07	0.3	0.06	0.02	0.84	0	0.001	0.165	13.2	0.35	0.009	0.29	0.74	0.01	0.06	0.01	0
0.02	0.8	0.35	0.84	0.03	2.89	0.52	0.05	1.35	0.05	0.008	0.059	7.38	1.47	0.003	15.68	1.7	0.03	0.04	0.03	1
0.01	23.34	0.04	3.39	0.002	2.67	0.46	0.4	0.88	0.59	0.59	0.118	6.4	1.63	0.003	36.62	1.75	0.02	0.23	0.06	0
2.37	2	0.83	3.33	0.06	3.63	0.4	1.71	1.4	0	0.95	0.025	10.25	2.56	0.007	3.22	6.07	0.04	0.19	0.08	0
2.58	25.46	0.04	1.37	0.001	5.42	0.73	1.76	0.63	0.91	0.91	0.139	6.11	1.84	0.007	31.02	5.87	0.05	0.01	0.06	0
1.21	29.27	0.76	1.75	0.06	2.73	0.44	0.9	0.28	0.19	0.001	0.059	10.58	1.97	0.006	46.96	2.08	0.06	0.5	0.08	0
0.1	17.04	0.08	0.64	0.05	0.72	0.06	0.57	1.44	0	0.003	0.092	7.89	0.2	0.009	0.21	0.92	0.02	0.04	0.07	1
2.09	11.94	0.29	3.84	0.11	3.28	0.32	0.63	1.12	0.41	0.002	0.185	7.79	1.28	0.005	31.91	5.34	0.08	0.29	0	0
0.15	28.46	0.01	2.88	0.007	6.62	0.17	0.75	1.29	0.18	0.001	0.134	12.33	1.12	0.005	41	3.39	0.08	0.4	0.05	0
0.06	9.74	0.01	3.58	0.001	6.71	0.16	1.53	1.17	0.43	0.007	0.091	14.04	1	0.009	55.11	0.54	0.03	0.39	0.04	0
3.56	21.75	0.04	1.29	0.007	4.49	0.08	1.65	0.03	0	0	0.067	5.56	1.64	0.001	7	2.73	0.03	0.19	0	1
0	25.96	0.01	0.48	0.02	0.06	0.04	0.1	1.1	0	0.001	0.036	17.78	0.12	0.001	0.48	3.23	0.02	0.01	0	0
0.01	4.14	0.07	0.37	0.1	0.18	0.02	0.67	0.75	0.08	0.001	0.034	4.54	1.58	0.008	0.47	0.95	0.07	0.08	0.07	0
0.08	7.25	0.07	0.05	0.08	0.08	0.01	0.69	1.32	0.62	0.62	0.103	14.75	0.75	0.01	2.85	2.72	0.06	0.05	0	0
0.08	2.98	0.15	3.85	0.1	7.46	0.29	0.05	0.47	0.54	0.54	0.001	5.5	2.61	0.006	8.2	0.8	0.04	0.4	0.03	0
0.01	26.59	0.04	0.75	0.08	0.04	0.04	0.07	0.03	0	0.004	0.055	5.22	0.18	0	7.07	0.97	0.09	0.08	0.05	1
0.04	-0.01	0.33	1.63	0.09	5.57	0.54	0.05	0.56	0.94	0.94	0.001	15.95	2.19	0.009	29.09	4.31	0.01	0.06	0.01	1
0.06	0.97	0.05	3.01	0.01	0.09	0.04	1.05	0.31	0	0	0.17	7.5	1.93	0.001	0.21	2.25	0.04	0.09	0.06	0
0.06	26.57	0.01	0.23	0.02	0.05	0.03	0.78	0.33	0	0.5	0.18	17.4	0.94	0.002	10.61	0.41	0	0.02	0.02	0
0.05	29.74	0.47	0.79	0.05	5.3	0.08	0.09	0.69	0.77	0.77	0.11	0.85	1.33	0.003	33.74	3.34	0.06	0.48	0.04	0
2.5	9.49	0.03	3.44	0.003	0.51	0.08	0.16	0.39	0	0	0.037	17.2	1.21	0.005	22.13	4.07	0.02	0.41	0.06	1
0.97	27.27	0.89	4.27	0.06	6.08	0.67	0.65	0.96	0.84	0.84	0.188	17.5	1.95	0.001	49.87	2.57	0.04	0.21	0.02	0
0.07	5.33	0.04	0.3	0.09	0.07	0.03	0.02	0.04	0.76	0.76	0.198	10.81	1.47	0.006	0.92	0.2	0.06	0.1	0.02	0
0.09	2.21	0.01	1.39	0.1	0.04	0.08	1.79	0.59	0	0.008	0.03	13.12	0.77	0.006	2.13	2.47	0.08	0.09	0.04	0
2.36	27.05	0.01	0.68	0.003	4.07	0.13	1.34	0.29	0.96	0.96	0.167	15.05	1.92	0.002	56.32	7.99	0.06	0.5	0.06	0
2.68	9.61	0.02	1.32	0.007	2.89	0.69	0.16	0.87	0.67	0.67	0.18	11.22	1.65	0.003	28.47	7.28	0.07	0.12	0.01	1
0.59	13.72	0.04	1.28	0.007	6.69	0.17	0.57	1.33	1	1	0.065	16.76	1.17	0.004	2.43	5.45	0.08	0.48	0.08	1
0.05	5.48	0.02	0.55	0.07	0	0.04	0.99	0.8	0.37	0.002	0.148	17.98	0.08	0.002	9.95	2.62	0.06	0.07	0.01	0
3.49	24.03	0.01	3	0.006	0.29	0.74	1.63	1.35	0.69	0.69	0.02	0.71	1.62	0.009	52.69	3.66	0.06	0.26	0.05	0
0.01	2.68	0.05	0.8	0.02	0.12	0.03	1.77	1.43	0.97	0.97	0.118	2.84	0.71	0.002	11.63	5.11	0.03	0.02	0	0
3.1	5.61	0.56	1.74	0.02	4.27	0.01	0.85	0.24	0	0.001	0.021	12.41	1.63	0.004	13.12	0.18	0.02	0.18	0.05	0
0.1	17.54	0.05	2.42	0.005	2.2	0.3	0.27	0.61	0.65	0.65	0.137	7.77	1.94	0	12.93	0.41	0.02	0.2	0.06	0
0.06	13.22	0.04	2.29	0.007	2.34	0.82	1.74	0.52	0.2	0.003	0.105	3.1	1.28	0.009	10.16	6.85	0.01	0.15	0.07	0
0.1	16.37	0.02	0.81	0.06	0.29	0	0.82	1.24	0	0.83	0.109	5.14	0.81	0.01	0.42	0.57	0.03	0.07	0.01	0
0.06	28.49	0.08	0.36	0.08	0.45	0.01	1.25	1.34	0.79	0.79	0.037	6.62	0.62	0.01	2.67	2	0.05	0.03	0.08	0
1.41	8.61	0.56	4.39	0.1	3.93	0.49	1.53	1.04	0	0	0.064	14.68	2.08	0.007	43.72	5.56	0	0.03	0.08	0
0.09	25.41	0.02	0.91	0.01	0.56	0.07	0.03	0.13	0	0.008	0.019	12.39	0.59	0.003	3.89	0.19	0.02	0.04	0.04	0
2.3	7.7	0.84	1.64	0.04	1.85	0.16	0.99	0.08	0.52	0.52	0.022	12.85	2.42	0.009	16.57	5.84	0.05	0.41	0.07	0
0.02	0.51	0.05	1.47	0.05	0.07	0.07	1.23	0.86	0.87	0.87	0.019	16.37	1.7	0.007	0.31	0.94	0.01	0.08	0.08	0
1.42	18.12	0.02	4.52	0.13	0.29	0.45	1.98	0.28	0	0.89	0.11	9.77	1.44	0.007	28.12	1.86	0.02	0.16	0.03	0
0.05	0.37	0.1	0.07	0.03	0.45	0.01	0.03	1.05	0	0.003	0.076	11.5	0.6	0.01	0.77	2.72	0.07	0.09	0.05	0
0.04	14.93	0.04	0.86	0.09	0.62	0.05	0.72	1.45	0	0	0.11	17.31	1.63	0.008	4.64	5.95	0.02	0.01	0.08	0
0.01	10	0.01	2	0	2	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	13.56	0.06	0.88	0.03	0.17	0.06	0.56	0.8	0.29	0.001	0.186	2.84	1.37	0	4.6	3.84	0.08	0.09	0.08	0
0.06	23.22	0.09	1	0.09	0.02	0.04	0.09	0.12	0	0.52	0.121	10.85	0.33	0.002	3.24	3.36	0.08	0.09	0.01	0
0.04	14.64	0.06	0.19	0.02	0.63	0.09	1.71	0.65	0.64	0.64	0.12	3.24	0.96	0.002	3.35	0.09	0.05	0.08	0.04	0
0.03	12.22	0.03	0.48	0.05	0.13	0.05	0.09	0.11	0	0	0.003	1.68	0.97	0.004	4.03	0.25	0.05	0.07	0.09	0
0.05	27.99	0.05	2.28	0.1	0.48	0	1.23	1.48	0.57	0.57	0.106	6.4	1.03	0.005	1.25	4.36	0.09	0.02	0.04	0
0.02	26.81	0.05	0.47	0.02	0.21	0.01	1.99	0.22	0	0.008	0.085	4.16	1.54	0.008	5.03	0.55	0.09	0.07	0.03	0
0.71	9.9	0.04	1.4	0.003	3.45	0.69	0.32	0.66	0.3	0.006	0.123	1.73	1.61	0.002	35.17	0.66	0.04	0.05	0.03	1
3.08	8.83	0.05	2.24	0.003	4.77	0.03	1.11	0.36	0.27	0.006	0.189	16.25	1.56	0.01	3.77	7.81	0.01	0.21	0.05	1
0.06	12.55	0.03	0.23	0.06	0.08	0.01	1.58	1.21	0	0	0.104	4.73	1.67	0.009	4.05	0.94	0.1	0.04	0.01	0
0	6.95	0.87	2.93	0.09	7.44	0.19	0.06	0.64	0.46	0.002	0.074	8.15	1.8	0.002	12.31	6.56	0.07	0.12	0.05	0
0.03	16.56	0.06	0.49	0.09	0.04	0.03	0.02	0.86	0	0.002	0.113	0.23	0.21	0.01	2.62	0.98	0.08	0.05	0.03	1
0.01	28.6	0.08	0.51	0.01	0.04	0.03	1.61	1.39	0.09	0.005	0.043	16.24	0.04	0	6	1.93	0.04	0.05	0.05	0
0.06	19.94	0.09	3.05	0.09	0.5	0.02	1.94	0.8	0	0.004	0.124	13.13	0.23	0.01	5.18	0.22	0.01	0.05	0.04	0
0	1.58	0.05	1.18	0.05	0.45	0.06	1.9	1.18	0	0.007	0.112	16.13	0.76	0.003	5.53	0.31	0.05	0.01	0.05	0
2.05	1.57	0.03	2.06	0.005	4.74	0.14	0.49	1.39	0.75	0.75	0.064	5.43	1.53	0.009	21.35	6.31	0.09	0.23	0.06	1
0.09	14.98	0.07	0.89	0	0.03	0.07	0.06	1.03	0	0.004	0.031	9.84	0.36	0.003	3.92	3.33	0.05	0.06	0.08	0
3.51	16.45	0.03	3.01	0.001	4.16	0.36	0.31	0.74	0.55	0.55	0.093	7.85	1.78	0.009	32.15	7.43	0.09	0.09	0.05	1
0.03	7.9	0.06	0.75	0.01	0.04	0.04	1.58	0.15	0.72	0.72	0.013	9.33	1.46	0.008	0.31	0.85	0.06	0	0.09	0
0.09	24.5	0.03	2.7	0.004	6.27	0.23	1.27	0.21	0.67	0.67	0.092	5.21	1.24	0.01	38.04	4.5	0.08	0.25	0.09	0
0.05	27.37	0.01	0.12	0.05	0.39	0.09	1.04	1.36	0.72	0.72	0.161	13.06	0.82	0.008	0.93	4.24	0.06	0.01	0.04	0
0.05	0.54	0.1	0.62	0.06	0.04	0	0.06	1.42	0	0.002	0.103	16.16	0.83	0.006	1.11	0.81	0.07	0.08	0	0
0.06	20.6	0.02	1.71	0.005	6.26	0.58	0.11	1.22	0.52	0.52	0.176	3.77	1.84	0.006	10.24	0.82	0.01	0.47	0.08	0
0.04	1.86	0.04	2.73	0.02	0.59	0	0.02	0.32	0	0	0.198	16.41	2.06	0.001	3.91	4.9	0.06	0.03	0.01	0
0.07	12.29	0.03	0.12	0.03	0.38	0.04	1.76	0.4	0.27	0	0.152	13.83	0.42	0.008	6.27	0.62	0.04	0.09	0.09	0
0.08	18.27	0.03	0.12	0.02	0.03	0.09	0.72	0.57	0.37	0.007	0.153	15.63	1.65	0.003	2.9	0.23	0.1	0.08	0.09	0
0.01	21.14	0.88	4.22	0.04	2.67	0.51	1.06	0.1	0.84	0.84	0.139	16.78	1.29	0.001	14.06	4.87	0.08	0.02	0.07	0
0.01	26.86	0.01	0.7	0.002	2.5	0.62	0.28	1.11	0.2	0.008	0.052	0.55	1.61	0.008	31.62	4.54	0.06	0.48	0.02	0
0.01	26.08	0.03	0.5	0.1	0.26	0.05	0.06	1.43	0	0.007	0.152	13.18	0.43	0.005	0.22	1.28	0.05	0.05	0.03	0
0.06	25.4	0.58	3.54	0.06	7.99	0.8	0.07	0.36	0.34	0.007	0.114	8.05	1.89	0.001	1.51	7.04	0.02	0.09	0	0
3.88	21.08	0.01	3.74	0.008	3.43	0.02	0.19	0.52	0.74	0.74	0.062	6.69	1.79	0.004	55.67	6.65	0	0.42	0.02	0
